Order_ID,Order_Date,Customer_ID,Product_Category,Sales,Quantity,Profit,Discount
ORD001,2024-01-05,CUST001,Technology,450.00,3,135.00,0.10
ORD002,2024-01-08,CUST002,Furniture,800.00,2,160.00,0.05
ORD003,2024-01-12,CUST003,Office Supplies,250.00,5,75.00,0.15
ORD004,2024-01-15,CUST004,Technology,1200.00,1,480.00,0.00
ORD005,2024-01-20,CUST005,Furniture,600.00,2,120.00,0.10
ORD006,2024-01-22,CUST006,Office Supplies,180.00,4,54.00,0.20
ORD007,2024-01-25,CUST007,Technology,950.00,2,380.00,0.08
ORD008,2024-02-01,CUST008,Furniture,1100.00,3,330.00,0.05
ORD009,2024-02-05,CUST009,Office Supplies,320.00,8,96.00,0.10
ORD010,2024-02-10,CUST010,Technology,750.00,1,300.00,0.12
ORD011,2024-02-15,CUST011,Furniture,900.00,3,270.00,0.08
ORD012,2024-02-18,CUST012,Office Supplies,420.00,6,126.00,0.15
ORD013,2024-02-22,CUST013,Technology,1400.00,2,560.00,0.00
ORD014,2024-03-01,CUST014,Furniture,550.00,1,165.00,0.10
ORD015,2024-03-05,CUST015,Office Supplies,280.00,7,84.00,0.20
ORD016,2024-03-10,CUST016,Technology,890.00,3,356.00,0.05
ORD017,2024-03-15,CUST017,Furniture,1200.00,2,360.00,0.08
ORD018,2024-03-20,CUST018,Office Supplies,380.00,9,114.00,0.12
ORD019,2024-03-25,CUST019,Technology,680.00,2,272.00,0.10
ORD020,2024-03-28,CUST020,Furniture,750.00,3,225.00,0.15
ORD021,2024-04-02,CUST001,Office Supplies,520.00,10,156.00,0.12
ORD022,2024-04-05,CUST002,Technology,1150.00,2,460.00,0.08
ORD023,2024-04-08,CUST003,Furniture,680.00,2,204.00,0.10
ORD024,2024-04-12,CUST004,Office Supplies,390.00,7,117.00,0.18
ORD025,2024-04-15,CUST005,Technology,980.00,1,392.00,0.05
ORD026,2024-04-18,CUST006,Furniture,850.00,3,255.00,0.12
ORD027,2024-04-22,CUST007,Office Supplies,440.00,8,132.00,0.15
ORD028,2024-04-25,CUST008,Technology,1320.00,2,528.00,0.00
ORD029,2024-05-01,CUST009,Furniture,720.00,2,216.00,0.10
ORD030,2024-05-05,CUST010,Office Supplies,310.00,6,93.00,0.20
ORD031,2024-05-10,CUST011,Technology,1050.00,3,420.00,0.08
ORD032,2024-05-15,CUST012,Furniture,920.00,4,276.00,0.12
ORD033,2024-05-18,CUST013,Office Supplies,360.00,9,108.00,0.15
ORD034,2024-05-22,CUST014,Technology,760.00,1,304.00,0.10
ORD035,2024-05-25,CUST015,Furniture,580.00,2,174.00,0.15
ORD036,2024-05-28,CUST016,Office Supplies,420.00,7,126.00,0.18
ORD037,2024-06-02,CUST017,Technology,1180.00,2,472.00,0.08
ORD038,2024-06-05,CUST018,Furniture,810.00,3,243.00,0.10
ORD039,2024-06-10,CUST019,Office Supplies,475.00,10,142.50,0.12
ORD040,2024-06-15,CUST020,Technology,890.00,1,356.00,0.05
ORD041,2024-06-18,CUST001,Furniture,960.00,2,288.00,0.12
ORD042,2024-06-22,CUST002,Office Supplies,340.00,8,102.00,0.20
ORD043,2024-06-25,CUST003,Technology,1260.00,3,504.00,0.00
ORD044,2024-07-01,CUST004,Furniture,700.00,2,210.00,0.10
ORD045,2024-07-05,CUST005,Office Supplies,285.00,6,85.50,0.18
ORD046,2024-07-08,CUST006,Technology,1100.00,2,440.00,0.08
ORD047,2024-07-12,CUST007,Furniture,850.00,3,255.00,0.12
ORD048,2024-07-15,CUST008,Office Supplies,520.00,9,156.00,0.15
ORD049,2024-07-18,CUST009,Technology,780.00,1,312.00,0.10
