Row Labels,Sum of Sales,,Row Labels,Sum of Sales,,,Row Labels,Sum of Profit,,Row Labels,Sum of Sales
East,17245,,Consumer,29035,,,Furniture,7744,,Jan,7930
North,18495,,Corporate,25215,,,Office Supplies,3867,,Feb,4890
South,17960,,Home Office,20160,,,Technology,14051,,Mar,4730
West,20710,,Grand Total,74410,,,Grand Total,25662,,Apr,6330
Grand Total,74410,,,,,,,,,May,5120
,,,,,,,,,,Jun,5915
,,,,,,,,,,Jul,6565
,,,,,,,,,,Aug,5940
,,,,,,,,,,Sep,6650
,,,,,,,,,,Oct,6730
,,,,,,,,,,Nov,6710
,Row Labels,Sum of Sales,,,,,,,,Dec,6900
,Lisa Thompson,5010,,,,,,,,Grand Total,74410
,Joseph Lewis,4640,,,,,,,,,
,Sarah Johnson,4330,,,,,,,,,
,Karen Young,4190,,,,,,,,,
,Patricia Jackson,4000,,,,,,,,,
,Richard Lee,3880,,,,,,,,,
,William Moore,3840,,,,,,,,,
,David Anderson,3840,,,,,,,,,
,Susan Clark,3780,,,,,,,,,
,Emily Davis,3730,,,,,,,,,
,Grand Total,41240,,,,,,,,,
